,,,R,tau,rho,time
42,1,63,0.14324731258344356,103,0.42878280182450373,10.949999999999989
42,1,64,0.15502654952949987,103,0.42878280182450373,10.949999999999989
42,1,65,0.1667695316366314,103,0.42878280182450373,10.949999999999989
42,1,66,0.17848384584866536,103,0.42878280182450373,10.949999999999989
42,1,67,0.190086744805248,103,0.42878280182450373,10.949999999999989
42,1,68,0.20151050858652012,103,0.42878280182450373,10.949999999999989
42,1,69,0.21283522653082673,103,0.42878280182450373,10.949999999999989
42,1,70,0.22390214392643273,103,0.42878280182450373,10.949999999999989
42,1,71,0.23477364519247343,103,0.42878280182450373,10.949999999999989
42,1,72,0.2454510711694795,103,0.42878280182450373,10.949999999999989
42,1,73,0.255904732634191,103,0.42878280182450373,10.949999999999989
42,1,74,0.26613835878960646,103,0.42878280182450373,10.949999999999989
42,1,75,0.27615336996229417,103,0.42878280182450373,10.949999999999989
42,1,76,0.28590297948347076,103,0.42878280182450373,10.949999999999989
42,1,77,0.29533318335376785,103,0.42878280182450373,10.949999999999989
42,1,78,0.30454429604365724,103,0.42878280182450373,10.949999999999989
42,1,79,0.31337420813227934,103,0.42878280182450373,10.949999999999989
42,1,80,0.3220865321309327,103,0.42878280182450373,10.949999999999989
42,1,81,0.33044994130368,103,0.42878280182450373,10.949999999999989
42,1,82,0.3383823805585213,103,0.42878280182450373,10.949999999999989
42,1,83,0.3459815560885761,103,0.42878280182450373,10.949999999999989
42,1,84,0.3532409866246336,103,0.42878280182450373,10.949999999999989
42,1,85,0.36013863390087997,103,0.42878280182450373,10.949999999999989
42,1,86,0.3673317095813654,103,0.42878280182450373,10.949999999999989
42,1,87,0.373395913334733,103,0.42878280182450373,10.949999999999989
42,1,88,0.38012409758975024,103,0.42878280182450373,10.949999999999989
42,1,89,0.3854746708678861,103,0.42878280182450373,10.949999999999989
42,1,90,0.3918624905642577,103,0.42878280182450373,10.949999999999989
42,1,91,0.39634336478824606,103,0.42878280182450373,10.949999999999989
42,1,92,0.4021009966720769,103,0.42878280182450373,10.949999999999989
42,1,93,0.4061492033195749,103,0.42878280182450373,10.949999999999989
42,1,94,0.40981334920160184,103,0.42878280182450373,10.949999999999989
42,1,95,0.4130692714294155,103,0.42878280182450373,10.949999999999989
42,1,96,0.4162674197212285,103,0.42878280182450373,10.949999999999989
42,1,97,0.419249559817651,103,0.42878280182450373,10.949999999999989
42,1,98,0.4219729784200137,103,0.42878280182450373,10.949999999999989
42,1,99,0.42416455037974593,103,0.42878280182450373,10.949999999999989
42,1,100,0.42615081416850253,103,0.42878280182450373,10.949999999999989
42,1,101,0.42771375773430564,103,0.42878280182450373,10.949999999999989
42,1,102,0.4286252523727321,103,0.42878280182450373,10.949999999999989
42,1,103,0.42878280182450373,103,0.42878280182450373,10.949999999999989
42,1,104,0.42803029156712724,103,0.42878280182450373,10.949999999999989
42,1,105,0.4266871060193636,103,0.42878280182450373,10.949999999999989
42,1,106,0.42471127747614545,103,0.42878280182450373,10.949999999999989
42,1,107,0.4221412174035339,103,0.42878280182450373,10.949999999999989
42,1,108,0.4189520259049458,103,0.42878280182450373,10.949999999999989
42,1,109,0.41506526176105796,103,0.42878280182450373,10.949999999999989
42,1,110,0.4106147951711357,103,0.42878280182450373,10.949999999999989
42,1,111,0.40564462459301875,103,0.42878280182450373,10.949999999999989
42,1,112,0.4002307818343943,103,0.42878280182450373,10.949999999999989
42,1,113,0.3943483278535192,103,0.42878280182450373,10.949999999999989
42,1,114,0.38822669963671796,103,0.42878280182450373,10.949999999999989
42,1,115,0.3819542255797626,103,0.42878280182450373,10.949999999999989
42,1,116,0.3755324983951631,103,0.42878280182450373,10.949999999999989
42,1,117,0.36898928218302185,103,0.42878280182450373,10.949999999999989
42,1,118,0.36270508194078416,103,0.42878280182450373,10.949999999999989
42,1,119,0.3565040322610738,103,0.42878280182450373,10.949999999999989
42,1,120,0.3501669120482733,103,0.42878280182450373,10.949999999999989
42,1,121,0.34339571052599066,103,0.42878280182450373,10.949999999999989
42,1,122,0.33618226244429755,103,0.42878280182450373,10.949999999999989
42,1,123,0.32838464991446464,103,0.42878280182450373,10.949999999999989
42,1,124,0.32021405399559105,103,0.42878280182450373,10.949999999999989
42,2,0,-0.19809864506735755,90,0.5137115817940902,10.949999999999989
42,2,1,-0.19226293122082183,90,0.5137115817940902,10.949999999999989
42,2,2,-0.18646694661764082,90,0.5137115817940902,10.949999999999989
42,2,3,-0.1807290312906079,90,0.5137115817940902,10.949999999999989
42,2,4,-0.17506243261276616,90,0.5137115817940902,10.949999999999989
42,2,5,-0.16939123473158602,90,0.5137115817940902,10.949999999999989
42,2,6,-0.16368917517418466,90,0.5137115817940902,10.949999999999989
42,2,7,-0.15803954464838416,90,0.5137115817940902,10.949999999999989
42,2,8,-0.15251240135803387,90,0.5137115817940902,10.949999999999989
42,2,9,-0.14769034408607928,90,0.5137115817940902,10.949999999999989
42,2,10,-0.1431885030084606,90,0.5137115817940902,10.949999999999989
42,2,11,-0.1384665387686,90,0.5137115817940902,10.949999999999989
42,2,12,-0.13397514981763253,90,0.5137115817940902,10.949999999999989
42,2,13,-0.12974766407899466,90,0.5137115817940902,10.949999999999989
42,2,14,-0.12556922069032367,90,0.5137115817940902,10.949999999999989
42,2,15,-0.12133810558565913,90,0.5137115817940902,10.949999999999989
42,2,16,-0.11699228144393141,90,0.5137115817940902,10.949999999999989
